Фамилия	Имя	Отчество	Дата рождения	Серия и номер паспорта
Криштофич	Зинаида	Захаровна	21.12.1973	4137 761086
Куликов	Николай	Витальевич	16.09.1990	4893 753917
Анисимов	Марк	Ильич	11.08.1994	4822 224954
Иванкова	Нина	Марковна	10.06.1974	4238 721929
Валеева	Алена	Серафимовна	12.02.1967	4594 816487
Соломахин	Василий	Кузьмич	03.11.1982	4625 996691
Смольников	Кирилл	Антонович	03.05.1988	4517 988974
Абумайлова	Наталия	Валериановна	18.08.1977	4159 174662
Руднева	Антонина	Макаровна	27.11.1982	4315 892626
Ярославцева	Алина	Филипповна	27.12.1962	4483 609941
Шлыков	Яков	Юлианович	25.08.1979	4339 135711
Кэбин	Иван	Давидович	20.03.1972	4993 802581
Гордеев	Николай	Геннадьевич	12.06.1990	4034 537277
Климушина	Виктория	Порфнрьевна	21.12.1994	4466 894861
Хамидуллина	Кира	Валериановна	16.09.1991	4682 817544
Янчурова	Тамара	Тимофеевна	05.02.1969	4236 490726
Фунтусова	Юлиана	Петровна	04.06.1993	4344 526424
Зорин	Макар	Тимофеевич	27.09.1995	4916 110765
Ряхина	Вера	Филипповна	18.01.1982	4337 612540
Беломестова	Дарья	Ефимовна	20.07.1995	4484 799487
Грачева	Ольга	Всеволодовна	02.09.1980	4385 746991
Черенчикова	Галина	Власовна	20.08.1995	4195 582352
Стародубова	Марфа	Ивановна	19.08.1988	4839 656558
Есикова	Марфа	Адамовна	12.11.1972	4818 935074
Мандрыка	Аполлинария	Севастьяновна	21.12.1960	4779 920088
Лутугин	Василий	Юрьевич	16.03.1967	4067 645888
Левтев	Ефим	Давидович	07.03.1978	4375 609622
Хейчеев	Прохор	Валерьевич	10.12.1968	4624 447171
Няшин	Емельян	Семенович	10.01.1985	4175 806673
Юганцева	Лана	Филипповна	17.10.1993	4955 725525
Ивашин	Леонид	Ираклиевич	03.12.1960	4952 677783
Салтанова	Ярослава	Порфнрьевна	07.12.1979	4885 538263
Майоров	Иван	Алексеевич	25.11.1994	4163 957821
Морякова	Таисия	Феоктистовна	13.07.1983	4835 254042
Глинка	Егор	Нифонтович	12.02.1971	4367 130282
Лешев	Константин	Лукьевич	21.08.1994	4013 309544
Энгельгардт	Александр	Фадеевич	15.08.1966	4625 543747
Дудник	Елена	Егоровна	12.12.1969	4069 205380
Луков	Роман	Иванович	14.11.1963	4516 555683
Глускина	Галина	Егоровна	19.10.1960	4598 602915
Ляпушкин	Виктор	Феоктистович	13.01.1990	4444 733717
Цейдлерина	Варвара	Ефимовна	08.02.1967	4560 878740
Лясин	Марк	Никанорович	19.07.1965	4285 940461
Белоусов	Серафим	Лукьевич	22.02.1990	4316 185269
Худякова	Кира	Феоктистовна	18.09.1978	4179 185688
Смирнитский	Антон	Власович	20.09.1976	4497 200766
Эскин	Виктор	Арсеньевич	24.05.1986	4531 389798
Яременко	Игнат	Михаилович	18.12.1967	4772 851599
Племянникова	Нина	Леонтьевна	16.03.1978	4187 901171
Язев	Николай	Прохорович	03.09.1978	4319 347584
Ягутян	Игнат	Венедиктович	11.02.1985	4086 359465
Филатов	Ефим	Макарович	13.10.1977	4758 866581
Сагадиева	Серафима	Ивановна	13.08.1990	4227 459250
Дмитровский	Евгений	Валентинович	13.01.1982	4421 593052
Случевская	Дарья	Валентиновна	06.01.1992	4550 518355
Ярощука	Нина	Алексеевна	13.02.1986	4323 141360
Салагин	Никифор	Максимоич	04.09.1960	4048 370434
Бакшаева	Марфа	Петровна	10.11.1960	4291 763177
Ярошевский	Серафим	Александрович	13.10.1962	4210 600002
Щегельская	Марина	Юрьевна	18.09.1977	4392 306407
Койтасбаев	Григорий	Васильевич	14.11.1982	4243 676777
Коченков	Роман	Савванович	02.09.1995	4565 755041
Инькова	Маргарита	Елизаровна	02.06.1976	4564 649127
Кидирбаева	Зоя	Александровна	24.11.1985	4176 345120
Сафонов	Савва	Васильевич	07.07.1960	4514 302628
Полков	Аркадий	Яковеевичевич	06.09.1994	4389 135514
Круминьш	Алена	Феоктистовна	04.06.1965	4232 575534
Золотов	Афанасий	Федотович	07.01.1961	4130 223326
Масленникова	Светлана	Антоновна	13.05.1981	4748 553678
Яснеев	Юрий	Павлович	06.06.1965	4441 407607
Журов	Макар	Феоктистович	07.03.1978	4670 385123
Ломоносов	Василий	Вячеславович	09.06.1976	4725 559833
Квартальнова	Валентина	Петровна	26.03.1963	4789 401620
Воликова	Юлиана	Васильевна	16.07.1964	4350 505749
Яматин	Константин	Юлианович	08.07.1991	4555 210977
Бобрик	Антон	Маркович	01.06.1962	4823 517536
Яговенко	Алла	Якововна	04.08.1967	4612 129086
Качурина	Римма	Марковна	11.05.1962	4514 910698
Аксёнова	Ольга	Данииловна	20.01.1973	4933 820119
Швечикова	Валентина	Саввановна	07.06.1984	4393 346559
Шамякин	Афанасий	Адамович	05.12.1993	4554 834195
Буданов	Федор	Егорович	24.10.1962	4584 923798
Витвинина	Виктория	Давидович	10.10.1991	4137 151503
Коньякова	Надежда	Севастьяновна	19.09.1981	4459 506648
Хуснутдинова	Татьяна	Тарасовна	05.08.1960	4792 377196
Юневич	Алексей	Степанович	05.05.1986	4513 290992
Зонова	Татьяна	Давидовна	08.10.1976	4012 503740
Ефимов	Егор	Артемович	04.08.1972	4053 551417
Кулумбаев	Ростислав	Даниилович	20.08.1967	4959 247030
Грушанин	Ростислав	Семенович	25.10.1969	4151 427508
Титов	Аркадий	Артемович	06.08.1977	4849 834954
Поликарпов	Яков	Егорович	14.03.1974	4353 682558
Олейникова	Марианна	Юрьевна	24.07.1977	4090 845251
Кравцова	Настасья	Ивановна	22.08.1986	4345 957920
Бялик	Афанасия	Денисовна	02.10.1965	4076 275923
Набережная	Алиса	Ефимовна	11.11.1970	4232 703688
Ивашечкина	Алина	Юлиановна	04.07.1966	4590 381914
Тихомирова	Анастасия	Ильишна	17.12.1964	4435 417188
Аксенчука	Галина	Ивановна	14.03.1962	4183 445601
Тесла	Ника	Ефимовна	07.11.1980	4365 674385
Брынских	Ефрем	Германович	23.01.1966	4896 754042
Черкашина	Юлия	Игнатевна	20.04.1970	4979 362305
Бельтюков	Алексей	Викторович	15.03.1977	4078 109679
Симонова	Василиса	Артемова	11.07.1978	4743 754379
Купцов	Игнат	Валентинович	07.07.1966	4715 756686
Лукашенко	Ольга	Никитьевна	26.10.1976	4369 821078
Яндашевский	Савва	Иванович	23.01.1994	4426 214275
Абрашина	Марфа	Игнатьевна	15.10.1977	4699 362114
Кулумбаева	Валерия	Витальевна	07.04.1973	4585 130698
Загидуллина	Виктория	Макаровна	04.03.1991	4236 401238
Жирова	Лидия	Наумовна	03.12.1992	4870 363280
Бунин	Кирилл	Гаврннлович	12.08.1994	4877 907372
Мананникова	Зинаида	Константиновна	08.12.1989	4754 106294
Савинков	Степан	Яковеевичевич	15.08.1990	4944 160756
Бобров	Денис	Филиппович	18.09.1979	4984 831345
Муравьёва	Нина	Николаевна	03.06.1979	4329 435459
Андроников	Геннадий	Прохорович	24.05.1965	4579 698843
Седельников	Антон	Юлианович	03.06.1961	4088 288683
Ивазова	Маргарита	Евгеньевна	08.04.1976	4110 925812
Чана	Серафима	Юлиановна	26.09.1990	4547 472863
Васильевых	Вера	Климентьевна	10.06.1966	4052 800800
Ястребов	Савва	Сергеевич	18.09.1989	4733 813024
Кочинян	Кузьма	Афанасьевич	28.12.1976	4573 865797
Печеникова	Анжела	Никандровна	21.11.1966	4744 679516
Эфиров	Вениамин	Викторович	09.07.1970	4837 526601
Фернандес	Ефим	Климентьевич	17.06.1966	4316 616768
Бутылина	Арина	Семеновна	20.01.1972	4354 868684
Корявин	Григорий	Яковлевич	18.11.1988	4895 405418
Элефтеров	Петр	Викторович	12.04.1968	4851 849498
Яковцов	Гавриил	Маркович	07.02.1988	4126 605460
Блатов	Захар	Лукьевич	17.11.1988	4021 809829
Ерхова	Валентина	Александровна	16.07.1964	4832 681469
Тимашёв	Вячеслав	Макарович	19.12.1961	4243 470468
Абдулова	Ирина	Григорьевна	12.09.1981	4446 625038
Руднева	Аполлинария	Евгеньевна	16.07.1994	4325 205384
Изотов	Михаил	Макарович	08.10.1987	4350 748762
Боркова	Ася	Иннокентьевна	01.04.1996	4719 622543
Кабальнова	Людмила	Якововна	22.02.1981	4549 532821
Шидловский	Юрий	Викторович	11.07.1988	4818 118180
Рябец	Игнат	Севастьянович	04.10.1995	4075 707642
Кондаков	Герман	Данилович	24.01.1983	4243 609589
Талалихин	Кирилл	Лукьевич	24.03.1983	4812 159387
Евстигнеева	Надежда	Максимовна	10.07.1971	4136 738341
Витаева	Серафима	Саввановна	13.01.1993	4569 706535
Яковкин	Аркадий	Сергеевич	14.07.1964	4386 574290
Ромазан	Степан	Прокльев	03.08.1969	4822 206996
Иньшов	Захар	Максимович	25.04.1978	4484 165636
Константинов	Иван	Александрович	01.01.1992	4628 444254
Солодская	Анна	Леонтьевна	19.08.1982	4279 515389
Проничева	Клавдия	Афанасьевна	26.07.1968	4675 852498
Ярошенко	Пелагея	Вениаминовна	18.05.1976	4423 763726
Чана	Раиса	Федоровна	26.01.1961	4256 815078
Печкина	Алена	Петровна	13.10.1991	4523 645525
Шведова	Ольга	Феодосьевна	12.12.1981	4852 252847
Серых	Игнат	Германович	27.11.1983	4369 654342
Любов	Филипп	Панкратович	06.02.1968	4683 351644
Пондяков	Антон	Петрович	19.05.1995	4548 626122
Карбаинова	Алина	Панкратовна	22.06.1980	4455 167852
Яимов	Леонид	Тимофеевич	21.01.1974	4326 282073
Гурьянова	Афанасия	Георгьевна	16.10.1966	4970 170508
Ямбушева	Марина	Николаевна	05.11.1977	4434 876556
Гришкин	Ефрем	Панкратович	09.09.1976	4139 150815
Шалимов	Василий	Давидович	24.05.1986	4262 621391
Суслова	Катерина	Семеновна	14.06.1967	4468 275329
Никанорова	Валерия	Григорьевна	03.04.1987	4670 403400
Кобонова	Любовь	Макаровна	03.01.1972	4222 470632
Шипицина	Светлана	Тимофеевна	11.08.1986	4131 805747
Котяша	Вера	Давидовна	18.04.1962	4353 321961
